Data e Hora,Velocidade do Vento,Direção do Vento,Temperatura,Umidade Relativa,Precipitação,Pressão Atmosférica,Radiação Solar,PM2.5,PM10,Dióxido de Enxofre,Monóxido de Carbono,Ozônio,Monóxido de Nitrogênio,Óxidos de Nitrogênio,Dióxido de Nitrogênio,HCT,Metano,HCNM,Monóxido de Carbono Média Móvel,Data.1,Hora.1,Média Horária
2010-01-03 22:00:00,InVld,InVld,InVld,InVld,InVld,,,,25,0,Alarm,24.8,3,11.3,9,,,,,,,
2010-01-03 23:00:00,InVld,InVld,InVld,InVld,InVld,,,,15,0,Alarm,24.9,Samp<,Samp<,Samp<,,,,,,,
2010-01-03 00:00:00,InVld,InVld,InVld,InVld,InVld,,,,23,0,Alarm,24.5,2,8,6.3,,,,,,,
2010-01-04 01:00:00,InVld,InVld,InVld,InVld,InVld,,,,14,0,Alarm,23.4,1.8,10,8.5,,,,,,,
2010-01-04 02:00:00,InVld,InVld,InVld,InVld,InVld,,,,9,0,Alarm,23.1,1.8,7,5.8,,,,,,,
2010-01-04 03:00:00,InVld,InVld,InVld,InVld,InVld,,,,7,0,Alarm,20.5,2,6.5,6,,,,,,,
2010-01-04 04:00:00,InVld,InVld,InVld,InVld,InVld,,,,6,0,Alarm,16.9,2.2,8.2,7.2,,,,,,,
2010-01-04 05:00:00,InVld,InVld,InVld,InVld,InVld,,,,5,0,Alarm,12.4,2.8,12.5,10.2,,,,,,,
2010-01-04 06:00:00,InVld,InVld,InVld,InVld,InVld,,,,4,0,Alarm,9.6,3.5,17.2,14.5,,,,,,,
2010-01-04 07:00:00,InVld,InVld,InVld,InVld,InVld,,,,3,0,Alarm,12.1,6.2,16.8,10.5,,,,,,,
2010-01-04 08:00:00,InVld,InVld,InVld,InVld,InVld,,,,15,0,Alarm,15.4,5.5,13.8,8.5,,,,,,,
2010-01-04 09:00:00,InVld,InVld,InVld,InVld,InVld,,,,10,0,Alarm,19.5,2.8,8.5,6.5,,,,,,,
2010-01-04 10:00:00,InVld,InVld,InVld,InVld,InVld,,,,6,0,Alarm,23.2,4.2,11.8,8,,,,,,,
2010-01-04 11:00:00,InVld,InVld,InVld,InVld,InVld,,,,4,0,Alarm,27.5,2.5,9.2,6.5,,,,,,,
2010-01-04 12:00:00,InVld,InVld,InVld,InVld,InVld,,,,19,0,InVld,29.1,3,10.8,7.8,,,,,,,
2010-01-04 13:00:00,InVld,InVld,InVld,InVld,InVld,,,,10,0,Alarm,32.4,2.5,11,8.2,,,,,,,
2010-01-04 14:00:00,InVld,InVld,InVld,InVld,InVld,,,,7,0,Alarm,34.8,2.5,9.5,7,,,,,,,
2010-01-04 15:00:00,InVld,InVld,InVld,InVld,InVld,,,,4,0,Alarm,37.7,3,17.5,14.5,,,,,,,
2010-01-04 16:00:00,InVld,InVld,InVld,InVld,InVld,,,,4,0,Alarm,30,2,10,8.8,,,,,,,
2010-01-04 17:00:00,InVld,InVld,InVld,InVld,InVld,,,,4,0,Alarm,27.7,1.5,8,6.5,,,,,,,
2010-01-04 18:00:00,InVld,InVld,InVld,InVld,InVld,,,,2,0,Alarm,19.6,Samp<,Samp<,Samp<,,,,,,,
2010-01-04 19:00:00,InVld,InVld,InVld,InVld,InVld,,,,2,0,Alarm,3.2,InVld,InVld,InVld,,,,,,,
2010-01-04 20:00:00,InVld,InVld,InVld,InVld,InVld,,,,6,0,Alarm,5.3,InVld,InVld,InVld,,,,,,,
2010-01-04 21:00:00,InVld,InVld,InVld,InVld,InVld,,,,17,0,Alarm,9.3,InVld,InVld,InVld,,,,,,,
2010-01-04 22:00:00,InVld,InVld,InVld,InVld,InVld,,,,32,0,Alarm,13.2,Alarm,Alarm,Alarm,,,,,,,
2010-01-04 23:00:00,InVld,InVld,InVld,InVld,InVld,,,,17,0,Alarm,15.2,Alarm,Alarm,Alarm,,,,,,,
2010-01-04 00:00:00,InVld,InVld,InVld,InVld,InVld,,,,11,0,Alarm,11.5,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 01:00:00,InVld,InVld,InVld,InVld,InVld,,,,8,0,Alarm,13.9,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 02:00:00,InVld,InVld,InVld,InVld,InVld,,,,5,0,Alarm,20.7,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 03:00:00,InVld,InVld,InVld,InVld,InVld,,,,10,0,Alarm,18.8,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 04:00:00,InVld,InVld,InVld,InVld,InVld,,,,7,0,Alarm,16.4,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 05:00:00,InVld,InVld,InVld,InVld,InVld,,,,4,0,Alarm,10.1,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 06:00:00,InVld,InVld,InVld,InVld,InVld,,,,4,0,Alarm,3.7,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 07:00:00,InVld,InVld,InVld,InVld,InVld,,,,18,0,Alarm,3.2,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 08:00:00,InVld,InVld,InVld,InVld,InVld,,,,21,0,Alarm,9,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 09:00:00,InVld,InVld,InVld,InVld,InVld,,,,13,0,Alarm,11.3,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 10:00:00,InVld,InVld,InVld,InVld,InVld,,,,9,0,Alarm,20.6,Alarm,Alarm,Alarm,,,,,,,
2010-01-05 11:00:00,InVld,InVld,InVld,InVld,InVld,,,,18,0,Alarm,35.5,Alarm,Alarm,Alarm,,,,,,,
